Subject,Video,G_s,G_i,Same_Gen,PA_2,FF,FM,MF,MM,PA_3,FFA,FMB,FMA,FFB,MFA,MMB,MMA,MFB,Total_Raw,Total_Scaled,Total_Perf,Recall_Raw,Recall_Scaled,Recall_Perf,Comp_Raw,Comp_Scaled,Comp_Perf,A_Raw,B_Raw,IFE_Raw,IFE_Scaled,StartDate,EndDate,IPAddress,Duration,LocLat,LocLong,b,c,d,e,f,1A,2A,3A,4A,5A,6A,7A,8A,1B,2B,3B,4B,5B,6B,7B,8B
48,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,8,100.00 ,17.67,5,100.00 ,18.62,3,100.00 ,16.09,8,5,6.5,81.25,11/11/19 13:46,11/11/19 19:30,207.35.218.226,20665,43.60890198,-79.50019836,4,6,2,2,6,2,4,1,2,1,4,2,3,3,2,1,1,1,3,2,2
49,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,6,7,87.5,11/11/19 15:05,11/11/19 15:19,66.62.205.176,867,45.668396,-111.2422028,2,1,1,1,5,2,4,1,2,1,4,2,3,3,1,1,4,1,2,3,1
50,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,6,75.00 ,-7.33,4,80.00 ,-1.38,2,66.67 ,-17.24,6,8,7,87.5,11/11/19 15:06,11/11/19 18:12,24.207.249.92,11115,38.64329529,-90.25749969,2,4,1,1,5,2,4,1,1,1,4,2,4,3,2,1,4,1,2,3,2
51,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,6,75.00 ,-7.33,4,80.00 ,-1.38,2,66.67 ,-17.24,6,7,6.5,81.25,11/11/19 15:44,11/11/19 15:54,70.131.36.91,605,38.59429932,-90.23210144,2,1,1,1,5,4,4,1,2,1,1,2,3,3,2,1,4,1,3,3,2
52,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,6,75.00 ,-8.33,4,80.00 ,-1.07,2,66.67 ,-20.98,6,3,4.5,56.25,11/11/19 17:31,11/11/19 17:42,169.229.122.41,626,37.80839539,-122.2845993,2,4,1,1,5,2,4,1,3,1,4,1,3,2,1,1,4,2,3,1,2
53,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,5,100.00 ,18.62,2,66.67 ,-17.24,7,6,6.5,81.25,11/11/19 17:35,11/11/19 17:46,209.107.191.151,638,37.77709961,-122.4059982,2,1,1,2,6,2,4,1,2,1,2,2,3,3,2,1,4,1,1,3,3
54,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,6,75.00 ,-8.33,3,60.00 ,-21.07,3,100.00 ,12.35,6,6,6,75,11/11/19 17:45,11/11/19 17:54,38.90.134.90,523,38.90640259,-77.12779999,3,1,1,2,6,2,4,1,1,2,4,2,3,3,2,1,2,1,4,3,2
55,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,6,7,87.5,11/11/19 17:58,11/11/19 18:09,107.0.228.218,656,42.28070068,-83.78009796,5,1,1,2,6,2,4,1,2,1,4,2,3,2,1,1,4,1,2,3,2
56,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,6,75.00 ,-8.33,3,60.00 ,-21.07,3,100.00 ,12.35,6,4,5,62.5,11/11/19 18:11,11/11/19 18:21,162.207.207.103,599,37.81069946,-122.2478943,2,1,2,1,5,2,2,1,2,2,4,2,3,3,1,1,3,1,1,2,2
57,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,6,75.00 ,-7.33,4,80.00 ,-1.38,2,66.67 ,-17.24,6,4,5,62.5,11/11/19 18:27,11/11/19 18:45,172.5.212.147,1085,42.23240662,-83.7016983,5,1,1,2,3,2,1,1,2,1,4,2,2,2,1,1,1,1,1,3,2
58,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,4,50.00 ,-32.33,2,40.00 ,-41.38,2,66.67 ,-17.24,4,5,4.5,56.25,11/11/19 18:32,11/11/19 18:45,71.34.130.67,796,38.83610535,-104.8147964,5,1,1,1,6,2,3,3,4,1,2,2,3,2,3,1,4,1,2,3,1
59,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,4,50.00 ,-32.33,2,40.00 ,-41.38,2,66.67 ,-17.24,4,4,4,50,11/11/19 19:45,11/11/19 19:56,75.59.236.144,667,37.35899353,-122.0866013,2,1,1,1,6,4,4,1,4,2,4,1,3,2,1,1,1,1,2,1,2
60,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,8,100.00 ,17.67,5,100.00 ,18.62,3,100.00 ,16.09,8,6,7,87.5,11/11/19 19:53,11/12/19 11:02,136.152.143.165,54558,37.87359619,-122.2570038,2,6,1,1,5,2,4,1,2,1,4,2,3,4,2,1,1,1,2,3,2
61,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,7,7,87.5,11/11/19 21:08,11/11/19 21:22,108.74.161.116,813,37.86599731,-122.256897,1,4,2,1,2,2,4,1,1,1,4,2,3,3,2,1,4,1,1,3,2
62,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,6,75.00 ,-8.33,4,80.00 ,-1.07,2,66.67 ,-20.98,6,5,5.5,68.75,11/11/19 21:16,11/11/19 21:26,68.111.194.194,576,33.10969543,-117.0670013,4,1,1,2,6,2,4,1,3,1,4,4,3,1,1,1,4,4,2,3,2
63,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,4,5.5,68.75,11/12/19 7:10,11/12/19 7:21,65.209.105.194,675,40.76300049,-73.99259949,2,1,1,2,5,2,4,1,2,4,4,2,3,2,1,1,4,1,1,3,1
64,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,5,100.00 ,18.93,2,66.67 ,-20.98,7,5,6,75,11/12/19 8:38,11/12/19 10:03,98.209.89.54,5092,42.28070068,-83.78009796,4,1,1,2,5,2,4,1,2,1,4,1,3,3,2,1,4,1,1,1,1
65,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,4,5.5,68.75,11/12/19 9:32,11/12/19 9:45,209.58.129.99,743,37.86599731,-122.256897,3,7,1,2,6,4,4,1,2,1,4,2,3,2,2,1,1,1,1,2,2
66,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,8,8,100,11/12/19 10:34,11/12/19 10:47,174.205.14.167,744,38.96350098,-76.96720123,2,4,1,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
67,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,5,62.50 ,-20.83,2,40.00 ,-41.07,3,100.00 ,12.35,5,4,4.5,56.25,11/12/19 10:38,11/12/19 10:47,65.78.2.217,552,40.76829529,-73.98020172,2,4,1,2,7,4,2,1,1,1,4,2,3,4,2,1,3,1,1,2,2
68,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,5,62.50 ,-20.83,2,40.00 ,-41.07,3,100.00 ,12.35,5,7,6,75,11/12/19 10:45,11/12/19 10:56,98.113.135.31,626,40.78199768,-73.99530029,2,1,1,2,6,4,1,1,1,1,4,2,3,3,2,1,2,1,2,3,2
69,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,8,100.00 ,17.67,5,100.00 ,18.62,3,100.00 ,16.09,8,8,8,100,11/12/19 13:43,11/12/19 13:54,68.42.117.147,649,42.2440033,-83.58229828,2,1,1,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
70,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,8,100.00 ,17.67,5,100.00 ,18.62,3,100.00 ,16.09,8,8,8,100,11/12/19 15:13,11/13/19 8:32,199.16.150.162,62383,40.77420044,-111.8721008,3,1,1,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
71,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,8,100.00 ,17.67,5,100.00 ,18.62,3,100.00 ,16.09,8,8,8,100,11/12/19 15:13,11/12/19 15:24,66.44.114.66,662,38.95219421,-77.02529907,3,1,1,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
72,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,5,100.00 ,18.93,2,66.67 ,-20.98,7,7,7,87.5,11/12/19 15:13,11/12/19 15:33,70.120.117.39,1164,32.96099854,-96.98410034,4,4,2,1,6,2,4,1,2,1,1,2,3,3,2,1,4,1,3,3,2
73,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,5,62.50 ,-20.83,3,60.00 ,-21.07,2,66.67 ,-20.98,5,7,6,75,11/12/19 16:13,11/12/19 16:27,208.87.235.180,809,34.05439758,-118.2440033,4,1,1,2,6,2,3,1,3,1,4,4,3,3,2,1,4,1,3,3,2
74,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,7,7,87.5,11/12/19 16:49,11/12/19 17:06,72.207.3.147,1051,32.71040344,-117.0527954,3,1,1,2,5,2,4,1,3,1,4,2,3,3,2,1,4,1,1,3,2
75,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,7,7,87.5,11/12/19 16:56,11/12/19 17:06,208.90.214.196,581,37.75059509,-122.4121017,2,4,1,2,6,2,3,1,2,1,4,2,3,3,2,1,1,1,2,3,2
76,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,5,6,75,11/12/19 19:57,11/12/19 20:07,98.248.156.77,607,37.30279541,-121.9981995,2,4,1,1,5,2,2,1,2,1,4,2,3,3,1,1,3,1,2,1,2
77,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,7,7.5,93.75,11/12/19 23:19,11/12/19 23:40,76.89.140.63,1221,33.97050476,-118.4308014,4,1,1,2,5,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
78,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,8,100.00 ,17.67,5,100.00 ,18.62,3,100.00 ,16.09,8,8,8,100,11/13/19 8:18,11/13/19 8:30,107.0.228.218,730,42.27090454,-83.72679901,2,1,1,2,5,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
79,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,8,7.5,93.75,11/13/19 9:18,11/13/19 9:29,99.151.33.122,639,30.26609802,-97.71360016,3,1,1,2,6,2,4,1,2,2,4,2,3,3,2,1,4,1,2,3,2
80,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,8,8,100,11/13/19 9:35,11/13/19 9:48,162.208.93.190,778,34.04469299,-118.4487,2,1,1,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
81,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,8,7.5,93.75,11/13/19 10:21,11/13/19 10:32,73.71.163.29,690,37.52810669,-121.9732056,2,4,2,1,6,4,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
82,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,6,75.00 ,-7.33,3,60.00 ,-21.38,3,100.00 ,16.09,6,7,6.5,81.25,11/13/19 12:22,11/13/19 12:32,47.153.96.125,605,33.51730347,-117.1208038,3,1,2,1,6,2,1,1,2,2,4,2,3,3,2,1,4,1,1,3,2
83,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,4,50.00 ,-32.33,1,20.00 ,-61.38,3,100.00 ,16.09,4,8,6,75,11/13/19 16:10,11/13/19 16:20,74.120.152.120,606,45.48039246,-122.5890961,4,1,1,2,6,4,1,3,2,2,4,2,3,3,2,1,4,1,2,3,2
84,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,6,6.5,81.25,11/14/19 0:07,11/14/19 0:18,146.23.201.247,629,-31.96330261,115.8608093,3,1,1,1,5,2,3,1,2,1,4,2,3,3,2,1,3,1,1,3,2
85,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,5,62.50 ,-20.83,3,60.00 ,-21.07,2,66.67 ,-20.98,5,3,4,50,11/14/19 5:48,11/14/19 5:59,173.68.158.89,656,40.77059937,-73.92829895,4,6,1,2,6,2,4,3,2,2,1,2,3,3,1,1,4,4,1,1,1
86,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,8,100.00 ,17.67,5,100.00 ,18.62,3,100.00 ,16.09,8,7,7.5,93.75,11/14/19 11:28,11/14/19 11:51,208.87.235.180,1404,34.05439758,-118.2440033,2,7,1,2,5,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
87,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,5,6,75,11/14/19 22:27,11/14/19 22:51,208.87.233.201,1401,37.75100708,-97.8219986,2,4,2,2,5,2,4,1,2,2,4,2,3,4,2,1,4,1,1,3,1
88,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,6,75.00 ,-7.33,4,80.00 ,-1.38,2,66.67 ,-17.24,6,6,6,75,11/15/19 7:40,11/15/19 7:50,71.183.110.199,566,40.74279785,-73.97119904,2,4,2,1,5,2,4,1,3,1,4,1,3,3,2,1,1,1,1,3,2
89,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,6,6.5,81.25,11/15/19 8:10,11/15/19 8:22,69.122.142.195,690,41.04699707,-73.62239838,3,4,2,2,6,2,1,1,2,1,4,2,3,2,2,1,4,1,1,3,2
