Subject,Video,G_s,G_i,Same_Gen,PA_2,FF,FM,MF,MM,PA_3,FFA,FMB,FMA,FFB,MFA,MMB,MMA,MFB,Total_Raw,Total_Scaled,Total_Perf,Recall_Raw,Recall_Scaled,Recall_Perf,Comp_Raw,Comp_Scaled,Comp_Perf,A_Raw,B_Raw,IFE_Raw,IFE_Scaled,StartDate,EndDate,IPAddress,Duration,LocLat,LocLong,b,c,d,e,f,1A,2A,3A,4A,5A,6A,7A,8A,1B,2B,3B,4B,5B,6B,7B,8B
100,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,6,75.00 ,-7.33,3,60.00 ,-21.38,3,100.00 ,16.09,6,5,5.5,68.75,11/17/19 6:43,11/17/19 7:04,190.28.97.6,1278,6.25289917,-75.56459808,3,7,2,1,6,2,4,1,3,2,4,2,3,3,1,1,2,1,2,3,1
101,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,6,75.00 ,-7.33,3,60.00 ,-21.38,3,100.00 ,16.09,6,7,6.5,81.25,11/17/19 12:27,11/17/19 12:37,67.165.164.206,598,41.87339783,-87.81069946,2,4,1,1,6,4,1,1,2,1,4,2,3,3,2,1,3,1,2,3,2
102,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,4,50.00 ,-32.33,3,60.00 ,-21.38,1,33.33 ,-50.58,4,6,5,62.5,11/18/19 7:58,11/18/19 9:29,208.87.235.180,5428,34.05439758,-118.2440033,4,4,2,2,6,2,4,1,4,4,1,2,4,3,2,1,1,1,2,3,4
103,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,6,6.5,81.25,11/18/19 9:13,11/18/19 9:24,205.175.106.147,630,47.6631012,-122.3029022,2,1,1,1,6,2,4,1,4,1,4,2,3,3,2,1,1,1,1,3,2
104,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,3,37.50 ,-45.83,2,40.00 ,-41.07,1,33.33 ,-54.32,3,4,3.5,43.75,11/18/19 10:17,11/18/19 11:13,136.152.143.100,3377,37.87359619,-122.2570038,3,1,1,1,6,1,1,1,1,1,2,1,3,2,2,1,1,1,1,2,2
105,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,5,62.50 ,-20.83,3,60.00 ,-21.07,2,66.67 ,-20.98,5,3,4,50,11/18/19 10:20,11/18/19 10:36,107.0.228.218,904,42.27090454,-83.72679901,5,1,1,2,3,2,2,2,2,1,2,2,3,1,1,1,4,1,4,2,1
106,1,2,1,0,4,0,0,1,0,10,0,0,0,0,1,0,0,0,7,87.50 ,5.17,4,80.00 ,-1.38,3,100.00 ,16.09,7,6,6.5,81.25,11/18/19 17:05,11/18/19 17:16,68.34.50.113,664,42.28070068,-83.78009796,2,1,1,1,6,2,4,1,4,1,4,2,3,3,2,1,1,1,1,3,2
107,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,6,7,87.5,11/18/19 17:12,11/18/19 17:21,71.225.71.56,528,39.91949463,-75.15650177,3,7,2,1,6,2,4,1,2,1,4,2,3,3,2,1,1,1,2,3,1
108,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,6,75.00 ,-7.33,4,80.00 ,-1.38,2,66.67 ,-17.24,6,6,6,75,11/18/19 19:49,11/18/19 19:58,98.248.221.42,537,37.31770325,-122.0438004,4,1,1,2,6,2,4,1,2,3,1,2,3,3,1,1,1,1,2,3,2
109,1,1,2,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,6,6.5,81.25,11/19/19 9:58,11/19/19 10:09,35.3.67.84,657,42.30679321,-83.7059021,2,1,1,1,6,2,4,1,4,1,4,2,3,3,1,1,3,1,2,3,2
110,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,8,100.00 ,16.67,5,100.00 ,18.93,3,100.00 ,12.35,8,7,7.5,93.75,11/19/19 20:37,11/19/19 20:52,108.95.4.25,850,32.80029297,-117.2438049,4,1,1,1,5,2,4,1,2,1,4,2,3,3,1,1,4,1,2,3,2
111,1,1,1,1,2,1,0,0,0,6,1,0,0,0,0,0,0,0,7,87.50 ,4.17,4,80.00 ,-1.07,3,100.00 ,12.35,7,5,6,75,11/22/19 9:31,11/22/19 9:45,107.0.228.218,856,42.27090454,-83.72679901,2,4,2,2,5,2,3,1,2,1,4,2,3,3,1,1,1,1,3,3,2
112,1,2,2,1,5,0,0,0,1,12,0,0,0,0,0,0,1,0,7,87.50 ,5.17,5,100.00 ,18.62,2,66.67 ,-17.24,7,6,6.5,81.25,11/22/19 12:22,11/22/19 12:31,98.236.28.77,549,40.46420288,-79.94480133,3,1,1,1,5,2,4,1,2,1,1,2,3,3,2,1,1,1,1,3,2
1,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,5,62.50 ,-13.66,3,60.00 ,-20.74,2,66.67 ,-1.85,7,5,6,75,11/10/19 10:18,11/10/19 10:29,98.228.64.223,628,41.70570374,-88.19460297,4,4,2,1,6,2,1,1,2,1,4,2,3,3,1,1,1,1,1,3,2
2,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,8,7,7.5,93.75,11/10/19 10:25,11/10/19 10:35,99.36.8.18,627,43.05029297,-88.04499817,2,1,1,1,5,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
3,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,4,80.00 ,-0.74,3,100.00 ,31.48,8,7,7.5,93.75,11/10/19 10:37,11/10/19 10:48,73.93.153.137,659,37.75889587,-122.1853027,2,4,2,1,5,2,4,1,2,1,4,2,3,3,2,1,1,1,2,3,2
4,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,5,62.50 ,-17.03,4,80.00 ,-3.45,1,33.33 ,-39.66,5,5,5,62.5,11/10/19 10:52,11/10/19 11:03,136.24.18.244,694,37.76420593,-122.3992996,2,4,1,1,6,2,1,1,3,1,2,2,3,3,1,1,4,1,3,3,1
5,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,5,6,5.5,68.75,11/10/19 10:53,11/10/19 11:06,27.4.35.218,760,19.07279968,72.88259888,3,4,3,2,5,2,1,1,2,1,1,2,2,3,2,1,1,1,1,3,2
6,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,8,100.00 ,23.84,5,100.00 ,19.26,3,100.00 ,31.48,8,8,8,100,11/10/19 11:11,11/10/19 11:21,71.105.216.106,604,40.85270691,-73.93830109,4,1,1,2,7,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
7,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,7,8,7.5,93.75,11/10/19 11:13,11/10/19 11:27,2.110.82.97,846,55.67860413,12.55889893,3,1,3,2,7,2,4,1,2,2,4,2,3,3,2,1,4,1,2,3,2
8,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,7,6,6.5,81.25,11/10/19 11:27,11/10/19 11:37,208.118.126.250,589,50.91569519,-113.8919983,5,1,1,1,6,2,4,1,3,1,4,2,3,3,1,1,4,1,1,3,2
9,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,8,100.00 ,23.84,5,100.00 ,19.26,3,100.00 ,31.48,7,8,7.5,93.75,11/10/19 11:40,11/10/19 11:49,68.49.194.24,537,42.2440033,-83.58229828,3,1,1,1,6,2,2,1,2,1,4,2,3,3,2,1,4,1,2,3,2
10,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,4,80.00 ,-0.74,3,100.00 ,31.48,6,6,6,75,11/10/19 11:42,11/10/19 11:55,108.211.202.152,778,42.28070068,-83.78009796,5,1,1,2,5,2,1,1,2,1,4,2,3,3,2,1,1,1,2,3,2
11,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,6,75.00 ,-4.53,5,100.00 ,16.55,1,33.33 ,-39.66,7,7,7,87.5,11/10/19 11:42,11/10/19 11:55,75.159.229.49,751,53.48800659,-113.4796982,3,2,2,1,6,2,4,1,2,1,1,2,1,3,2,1,4,1,4,2,2
12,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,7,87.50 ,7.97,4,80.00 ,-3.45,3,100.00 ,27.01,7,7,7,87.5,11/10/19 12:09,11/10/19 12:23,68.129.153.196,869,40.93510437,-73.75710297,4,4,1,2,7,2,3,1,2,1,4,2,3,3,1,1,4,1,2,3,2
13,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,8,6,7,87.5,11/10/19 12:24,11/10/19 12:36,73.202.141.223,739,37.76179504,-121.9132996,4,1,1,1,6,2,4,1,2,1,4,2,3,3,2,1,3,1,4,3,2
14,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,6,7,6.5,81.25,11/10/19 12:26,11/10/19 12:38,174.82.117.98,700,32.65370178,-97.37419891,2,4,2,1,6,2,4,1,2,1,1,2,1,3,2,1,4,1,2,3,4
15,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,7,87.50 ,7.97,4,80.00 ,-3.45,3,100.00 ,27.01,7,7,7,87.5,11/10/19 13:00,11/10/19 13:12,75.66.165.99,764,35.06440735,-89.67590332,3,7,2,1,6,2,4,1,2,1,2,2,3,3,2,1,1,1,2,3,2
16,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,8,6,7,87.5,11/10/19 13:14,11/10/19 13:24,67.166.89.10,623,45.69520569,-122.6540985,4,1,1,1,6,2,4,1,2,1,4,2,3,3,3,1,4,1,1,3,2
17,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,3,37.50 ,-42.03,1,20.00 ,-63.45,2,66.67 ,-6.32,5,3,4,50,11/10/19 13:49,11/10/19 14:02,107.184.226.255,803,34.09030151,-118.3749008,5,1,1,2,6,4,1,1,3,1,4,2,3,2,1,1,1,4,2,3,3
18,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,8,8,8,100,11/10/19 14:13,11/10/19 14:23,65.128.93.68,604,44.95480347,-93.15509796,5,1,1,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
19,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,6,7,6.5,81.25,11/10/19 14:30,11/10/19 14:49,207.172.94.230,1157,38.8605957,-76.9776001,2,4,1,2,6,2,4,1,2,1,1,2,1,3,2,1,4,1,3,3,2
20,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,8,7,7.5,93.75,11/10/19 14:32,11/10/19 14:42,52.60.183.85,640,45.49949646,-73.58480072,3,4,1,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,3
21,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,6,75.00 ,-1.16,3,60.00 ,-20.74,3,100.00 ,31.48,6,6,6,75,11/10/19 14:33,11/10/19 14:48,24.130.254.64,942,37.79060364,-122.2411957,4,1,1,1,6,2,1,1,2,1,4,2,1,2,2,1,1,1,2,3,2
22,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,6,7,6.5,81.25,11/10/19 15:19,11/10/19 15:33,116.87.247.127,825,1.337295532,103.7695923,3,7,2,1,6,2,4,1,1,1,1,2,3,3,2,1,4,1,3,3,2
23,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,7,6,6.5,81.25,11/10/19 15:23,11/10/19 15:32,182.239.85.195,524,22.29089355,114.1499939,3,1,1,1,6,1,4,1,2,1,4,2,3,2,2,1,4,1,1,3,2
24,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,8,7,7.5,93.75,11/10/19 17:11,11/10/19 17:23,73.96.105.255,729,45.5072937,-122.6929016,4,1,1,1,6,2,4,1,2,1,4,2,3,3,2,1,4,1,1,3,2
25,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,7,7,7,87.5,11/10/19 17:42,11/10/19 17:52,73.70.87.160,629,38.24780273,-122.6192017,4,1,1,2,6,2,4,1,2,2,4,2,3,3,2,1,4,1,1,3,2
26,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,6,75.00 ,-1.16,3,60.00 ,-20.74,3,100.00 ,31.48,8,6,7,87.5,11/10/19 17:53,11/10/19 18:03,67.247.36.76,620,40.80000305,-73.9763031,1,4,1,1,1,2,4,1,2,1,4,2,3,4,1,1,4,1,2,3,2
27,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,4,50.00 ,-29.53,4,80.00 ,-3.45,0,0.00 ,-72.99,6,4,5,62.5,11/10/19 18:17,11/10/19 18:28,108.74.161.116,625,37.86369324,-122.276001,2,4,2,1,5,2,4,1,1,1,4,2,1,3,2,1,1,1,1,1,1
28,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,8,7,7.5,93.75,11/10/19 18:30,11/10/19 18:45,73.145.163.170,860,42.28070068,-83.78009796,2,1,1,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,3,3,2
29,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,7,8,7.5,93.75,11/10/19 18:40,11/10/19 18:51,68.36.54.209,639,42.30679321,-83.7059021,5,1,1,2,7,4,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
30,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,7,6,6.5,81.25,11/10/19 19:24,11/10/19 19:37,98.7.53.86,788,40.78100586,-73.95010376,5,1,1,2,6,2,4,1,4,2,2,2,3,3,2,4,4,1,1,3,2
31,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,6,75.00 ,-4.53,5,100.00 ,16.55,1,33.33 ,-39.66,5,6,5.5,68.75,11/10/19 19:24,11/10/19 19:37,174.220.11.13,754,42.78410339,-73.90940094,5,1,1,2,5,2,4,1,2,1,4,2,2,3,2,1,4,1,1,1,2
32,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,8,7,7.5,93.75,11/10/19 20:18,11/10/19 20:29,209.107.190.9,684,40.69400024,-73.99009705,3,4,1,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,3,3,2
33,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,6,6,6,75,11/10/19 23:24,11/11/19 4:44,122.170.160.92,19179,23.02580261,72.58729553,4,4,1,1,6,2,2,1,2,1,2,2,3,3,1,1,4,1,1,3,2
34,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,7,6,6.5,81.25,11/11/19 1:49,11/11/19 1:58,174.62.123.155,552,37.98609924,-122.5688019,3,4,1,2,7,2,4,1,3,1,4,2,3,3,2,1,1,1,1,3,2
35,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,8,100.00 ,23.84,5,100.00 ,19.26,3,100.00 ,31.48,8,8,8,100,11/11/19 2:22,11/11/19 2:36,51.37.19.174,895,53.18190002,-6.796707153,4,1,2,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
36,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,5,7,6,75,11/11/19 4:12,11/11/19 4:24,62.31.28.109,736,51.4835968,-0.264007568,2,6,2,1,6,2,3,1,3,1,4,3,3,3,2,1,4,1,1,3,2
37,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,6,75.00 ,-4.53,4,80.00 ,-3.45,2,66.67 ,-6.32,7,6,6.5,81.25,11/11/19 6:01,11/11/19 6:12,107.0.228.218,653,42.28070068,-83.78009796,3,1,1,2,6,2,4,1,2,1,4,1,3,2,2,1,4,1,1,3,2
38,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,5,62.50 ,-13.66,3,60.00 ,-20.74,2,66.67 ,-1.85,8,5,6.5,81.25,11/11/19 6:14,11/11/19 6:25,107.0.228.218,654,42.28070068,-83.78009796,4,1,1,2,6,2,4,1,2,1,4,2,3,2,2,1,1,1,2,2,2
39,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,5,62.50 ,-13.66,3,60.00 ,-20.74,2,66.67 ,-1.85,4,5,4.5,56.25,11/11/19 6:32,11/11/19 6:44,198.178.12.68,679,39.92179871,-75.28759766,2,4,1,1,6,3,1,1,3,1,2,2,3,3,1,1,3,1,4,3,2
40,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,7,8,7.5,93.75,11/11/19 7:57,11/11/19 8:43,204.227.129.50,2735,37.75100708,-97.8219986,2,7,1,1,5,2,4,1,3,1,4,2,3,3,2,1,4,1,2,3,2
41,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,7,8,7.5,93.75,11/11/19 8:42,11/11/19 8:54,173.244.44.8,722,47.60920715,-122.3314056,2,1,1,1,6,2,2,1,2,1,4,2,3,3,2,1,4,1,2,3,2
42,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,7,7,7,87.5,11/11/19 8:49,11/11/19 9:08,23.240.218.172,1122,34.10040283,-118.2946014,5,2,1,2,6,2,4,1,1,1,4,2,3,3,2,1,4,1,2,3,1
43,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,7,87.50 ,7.97,4,80.00 ,-3.45,3,100.00 ,27.01,8,7,7.5,93.75,11/11/19 8:56,11/11/19 9:24,73.145.174.161,1645,42.28070068,-83.78009796,2,1,1,1,6,2,4,1,2,1,4,2,3,3,2,1,1,1,2,3,2
44,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,7,7,7,87.5,11/11/19 8:58,11/11/19 9:09,107.4.82.180,650,42.30679321,-83.7059021,3,1,1,1,6,2,1,1,2,1,4,2,3,3,2,1,4,1,1,3,2
45,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,8,100.00 ,23.84,5,100.00 ,19.26,3,100.00 ,31.48,7,8,7.5,93.75,11/11/19 9:10,11/11/19 9:23,45.19.207.2,743,42.28070068,-83.78009796,2,1,1,2,6,2,4,1,3,1,4,2,3,3,2,1,4,1,2,3,2
46,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,4,7,5.5,68.75,11/11/19 13:00,11/11/19 13:11,65.254.97.49,676,38.61700439,-90.25659943,2,6,1,1,5,4,4,4,2,1,1,2,1,3,2,1,4,1,1,3,2
47,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,5,62.50 ,-13.66,4,80.00 ,-0.74,1,33.33 ,-35.19,7,5,6,75,11/11/19 13:24,11/11/19 14:00,66.205.139.195,2125,38.6157074,-121.5052948,3,4,2,1,6,2,4,1,2,1,1,2,3,3,2,1,3,1,1,3,1
48,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,5,62.50 ,-17.03,4,80.00 ,-3.45,1,33.33 ,-39.66,8,5,6.5,81.25,11/11/19 13:46,11/11/19 19:30,207.35.218.226,20665,43.60890198,-79.50019836,4,6,2,2,6,2,4,1,2,1,4,2,3,3,2,1,1,1,3,2,2
49,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,8,6,7,87.5,11/11/19 15:05,11/11/19 15:19,66.62.205.176,867,45.668396,-111.2422028,2,1,1,1,5,2,4,1,2,1,4,2,3,3,1,1,4,1,2,3,1
50,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,8,100.00 ,20.47,5,100.00 ,16.55,3,100.00 ,27.01,6,8,7,87.5,11/11/19 15:06,11/11/19 18:12,24.207.249.92,11115,38.64329529,-90.25749969,2,4,1,1,5,2,4,1,1,1,4,2,4,3,2,1,4,1,2,3,2
51,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,7,87.50 ,7.97,5,100.00 ,16.55,2,66.67 ,-6.32,6,7,6.5,81.25,11/11/19 15:44,11/11/19 15:54,70.131.36.91,605,38.59429932,-90.23210144,2,1,1,1,5,4,4,1,2,1,1,2,3,3,2,1,4,1,3,3,2
52,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,3,37.50 ,-38.66,2,40.00 ,-40.74,1,33.33 ,-35.19,6,3,4.5,56.25,11/11/19 17:31,11/11/19 17:42,169.229.122.41,626,37.80839539,-122.2845993,2,4,1,1,5,2,4,1,3,1,4,1,3,2,1,1,4,2,3,1,2
53,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,6,75.00 ,-4.53,5,100.00 ,16.55,1,33.33 ,-39.66,7,6,6.5,81.25,11/11/19 17:35,11/11/19 17:46,209.107.191.151,638,37.77709961,-122.4059982,2,1,1,2,6,2,4,1,2,1,2,2,3,3,2,1,4,1,1,3,3
54,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,6,75.00 ,-1.16,4,80.00 ,-0.74,2,66.67 ,-1.85,6,6,6,75,11/11/19 17:45,11/11/19 17:54,38.90.134.90,523,38.90640259,-77.12779999,3,1,1,2,6,2,4,1,1,2,4,2,3,3,2,1,2,1,4,3,2
55,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,6,75.00 ,-1.16,3,60.00 ,-20.74,3,100.00 ,31.48,8,6,7,87.5,11/11/19 17:58,11/11/19 18:09,107.0.228.218,656,42.28070068,-83.78009796,5,1,1,2,6,2,4,1,2,1,4,2,3,2,1,1,4,1,2,3,2
56,2,1,2,0,3,0,1,0,0,7,0,1,0,0,0,0,0,0,4,50.00 ,-26.16,3,60.00 ,-20.74,1,33.33 ,-35.19,6,4,5,62.5,11/11/19 18:11,11/11/19 18:21,162.207.207.103,599,37.81069946,-122.2478943,2,1,2,1,5,2,2,1,2,2,4,2,3,3,1,1,3,1,1,2,2
57,2,2,1,0,4,0,0,1,0,13,0,0,0,0,0,0,0,1,4,50.00 ,-29.53,2,40.00 ,-43.45,2,66.67 ,-6.32,6,4,5,62.5,11/11/19 18:27,11/11/19 18:45,172.5.212.147,1085,42.23240662,-83.7016983,5,1,1,2,3,2,1,1,2,1,4,2,2,2,1,1,1,1,1,3,2
58,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,5,62.50 ,-17.03,3,60.00 ,-23.45,2,66.67 ,-6.32,4,5,4.5,56.25,11/11/19 18:32,11/11/19 18:45,71.34.130.67,796,38.83610535,-104.8147964,5,1,1,1,6,2,3,3,4,1,2,2,3,2,3,1,4,1,2,3,1
59,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,4,50.00 ,-29.53,2,40.00 ,-43.45,2,66.67 ,-6.32,4,4,4,50,11/11/19 19:45,11/11/19 19:56,75.59.236.144,667,37.35899353,-122.0866013,2,1,1,1,6,4,4,1,4,2,4,1,3,2,1,1,1,1,2,1,2
60,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,6,75.00 ,-4.53,3,60.00 ,-23.45,3,100.00 ,27.01,8,6,7,87.5,11/11/19 19:53,11/12/19 11:02,136.152.143.165,54558,37.87359619,-122.2570038,2,6,1,1,5,2,4,1,2,1,4,2,3,4,2,1,1,1,2,3,2
61,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,7,87.50 ,11.34,5,100.00 ,19.26,2,66.67 ,-1.85,7,7,7,87.5,11/11/19 21:08,11/11/19 21:22,108.74.161.116,813,37.86599731,-122.256897,1,4,2,1,2,2,4,1,1,1,4,2,3,3,2,1,4,1,1,3,2
62,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,5,62.50 ,-13.66,2,40.00 ,-40.74,3,100.00 ,31.48,6,5,5.5,68.75,11/11/19 21:16,11/11/19 21:26,68.111.194.194,576,33.10969543,-117.0670013,4,1,1,2,6,2,4,1,3,1,4,4,3,1,1,1,4,4,2,3,2
63,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,4,50.00 ,-29.53,3,60.00 ,-23.45,1,33.33 ,-39.66,7,4,5.5,68.75,11/12/19 7:10,11/12/19 7:21,65.209.105.194,675,40.76300049,-73.99259949,2,1,1,2,5,2,4,1,2,4,4,2,3,2,1,1,4,1,1,3,1
64,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,5,62.50 ,-13.66,5,100.00 ,19.26,0,0.00 ,-68.52,7,5,6,75,11/12/19 8:38,11/12/19 10:03,98.209.89.54,5092,42.28070068,-83.78009796,4,1,1,2,5,2,4,1,2,1,4,1,3,3,2,1,4,1,1,1,1
65,2,2,2,1,5,0,0,0,1,11,0,0,0,0,0,1,0,0,4,50.00 ,-29.53,3,60.00 ,-23.45,1,33.33 ,-39.66,7,4,5.5,68.75,11/12/19 9:32,11/12/19 9:45,209.58.129.99,743,37.86599731,-122.256897,3,7,1,2,6,4,4,1,2,1,4,2,3,2,2,1,1,1,1,2,2
66,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,8,100.00 ,23.84,5,100.00 ,19.26,3,100.00 ,31.48,8,8,8,100,11/12/19 10:34,11/12/19 10:47,174.205.14.167,744,38.96350098,-76.96720123,2,4,1,2,6,2,4,1,2,1,4,2,3,3,2,1,4,1,2,3,2
67,2,1,1,1,2,1,0,0,0,9,0,0,0,1,0,0,0,0,4,50.00 ,-26.16,3,60.00 ,-20.74,1,33.33 ,-35.19,5,4,4.5,56.25,11/12/19 10:38,11/12/19 10:47,65.78.2.217,552,40.76829529,-73.98020172,2,4,1,2,7,4,2,1,1,1,4,2,3,4,2,1,3,1,1,2,2
